sample,ngram-s1,ngram-s2,ngram-s,ngram-n1,ngram-n2,ngram-n,ngram-i1,ngram-i2,ngram-i,lstm-s1,lstm-s2,lstm-s,lstm-n1,lstm-n2,lstm-n,lstm-i1,lstm-i2,lstm-i,dockercomp-s1,dockercomp-s2,dockercomp-s,dockercomp-n1,dockercomp-n2,dockercomp-n,dockercomp-i1,dockercomp-i2,dockercomp-i
49,1,1,1,3,2,2.5,3,2,2.5,1,2,1.5,2,2,2,3,4,3.5,1,2,1.5,1,1,1,1,3,2
50,2,1,1.5,3,2,2.5,3,22,12.5,1,2,1.5,2,3,2.5,2,3,2.5,4,4,4,4,4,4,4,4,4
51,1,1,1,1,2,1.5,2,2,2,1,1,1,2,1,1.5,2,2,2,4,4,4,4,4,4,4,4,4
52,1,1,1,1,1,1,2,1,1.5,1,1,1,2,1,1.5,2,3,2.5,3,3,3,3,4,3.5,3,4,3.5
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
54,1,1,1,1,2,1.5,1,2,1.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
55,2,1,1.5,3,2,2.5,3,2,2.5,1,2,1.5,2,3,2.5,3,3,3,3,3,3,3,4,3.5,3,4,3.5
56,1,1,1,1,2,1.5,1,2,1.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57,1,1,1,1,2,1.5,1,2,1.5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
58,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,2,1.5
59,2,1,1.5,2,2,2,3,2,2.5,1,2,1.5,2,2,2,2,3,2.5,4,4,4,4,4,4,4,4,4
60,1,1,1,1,2,1.5,2,2,2,1,1,1,2,1,1.5,2,2,2,4,4,4,4,4,4,4,4,4
61,2,1,1.5,3,2,2.5,3,2,2.5,1,2,1.5,2,3,2.5,2,3,2.5,2,2,2,2,1,1.5,2,3,2.5
62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
63,2,1,1.5,3,2,2.5,3,2,2.5,1,2,1.5,2,3,2.5,2,3,2.5,4,4,4,4,4,4,4,4,4
64,2,1,1.5,3,2,2.5,3,2,2.5,2,2,2,2,3,2.5,2,3,2.5,3,3,3,3,4,3.5,4,4,4
65,2,1,1.5,3,2,2.5,3,2,2.5,1,2,1.5,2,3,2.5,2,3,2.5,3,3,3,2,4,3,3,4,3.5
66,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,1,2,1.5,1,1,1,1,2,1.5,1,1,1
67,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,2,3,2.5,1,2,1.5,1,2,1.5,1,2,1.5
68,1,1,1,2,2,2,2,2,2,1,2,1.5,2,1,1.5,2,4,3,1,2,1.5,1,2,1.5,1,3,2
69,1,1,1,1,2,1.5,1,2,1.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
70,2,1,1.5,4,2,3,3,2,2.5,1,2,1.5,2,3,2.5,2,4,3,4,4,4,4,4,4,4,4,4
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
72,3,1,2,1,1,1,4,1,2.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,3.5,4,4,4
74,1,1,1,1,2,1.5,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1.5,2,2,2
76,3,2,2.5,1,3,2,4,3,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
77,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,2,1.5
78,1,1,1,3,2,2.5,2,2,2,1,2,1.5,2,1,1.5,2,3,2.5,1,2,1.5,1,1,1,1,2,1.5
79,1,1,1,1,2,1.5,1,2,1.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
80,1,1,1,1,2,1.5,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
